"","play_id","pitch_count","pitcher","batter_name_full","bats","inning","balls","strikes","release_velo","spin_rate","break_x","break_z","release_x","release_z","extension","pitch_type","events","description"
"1","b0ec8fc4-95c8-4478-893c-80eb03079d6b",1,"Nola, Aaron","B. Nimmo","L",1,0,0,92.3,2295,10.8,15.6,1.9,5,7.3,"FF","","called_strike"
"2","f6a130f7-9903-41b7-ad19-a0a78e020af5",2,"Nola, Aaron","B. Nimmo","L",1,0,1,91.8,2208,17.3,7.3,1.9,5,7.2,"SI","","called_strike"
"3","2ce6b6c6-7bc9-46d8-b436-a863e6617dd3",3,"Nola, Aaron","B. Nimmo","L",1,0,2,92.3,2264,17.6,9.2,1.8,5.1,7.3,"SI","","ball"
"4","9451a589-86fb-4aea-8894-5384afb99957",4,"Nola, Aaron","B. Nimmo","L",1,1,2,79.5,2636,-13.2,-11.8,1.9,5,7.1,"CB","","ball"
"5","ad1b5c7a-f12a-4a04-81ac-314afdf3639c",5,"Nola, Aaron","B. Nimmo","L",1,2,2,78.9,2482,-13.6,-11.6,2,5.1,7.2,"CB","","foul"
"6","374afd6b-5f30-4e73-b13a-a0e022aa3677",6,"Nola, Aaron","B. Nimmo","L",1,2,2,92.1,2162,16.6,7.8,1.9,4.9,7.4,"SI","","ball"
"7","5bacfbe3-2fae-42b7-95f2-e302fe089f80",7,"Nola, Aaron","B. Nimmo","L",1,3,2,79.2,2511,-15.1,-10,1.9,5.1,7.3,"CB","field_out","hit_into_play"
"8","b25002c8-9dcc-46e1-865e-71afaaf23d1c",8,"Nola, Aaron","S. Marte","R",1,0,0,92.3,2078,8.7,15.5,1.9,4.9,7.3,"FF","","called_strike"
"9","1ed2eab9-d018-47a1-89f5-0a69f08307ec",9,"Nola, Aaron","S. Marte","R",1,0,1,88.2,2328,0.2,6.5,1.9,5,7.5,"CT","","ball"
"10","c90a86cf-15a2-4e87-916a-69a8ddb375d8",10,"Nola, Aaron","S. Marte","R",1,1,1,88.2,2342,2.8,6.5,1.8,5,7.4,"CT","","ball"
"11","e52e5b28-9b42-4b5d-bb73-da536c6fbdfe",11,"Nola, Aaron","S. Marte","R",1,2,1,80.3,2655,-12.9,-7.9,1.9,5.1,7.2,"CB","","swinging_strike"
"12","5557543c-79b0-4e05-965b-c1f2b67c257a",12,"Nola, Aaron","S. Marte","R",1,2,2,80.2,2607,-16.6,-11.2,2,5.1,7.3,"CB","strikeout","swinging_strike"
"13","fc7fadb4-ceaf-44ff-901c-c9f6d40dcb9e",13,"Nola, Aaron","F. Lindor","L",1,0,0,94.1,2341,13.4,13.6,2,5,7.3,"FF","field_out","hit_into_play"
"14","ddf8d7b8-8784-4b7b-862e-76efb2792619",14,"Nola, Aaron","P. Alonso","R",2,0,0,92.6,2372,13.1,15.1,2,5,7.4,"FF","field_out","hit_into_play"
"15","f4f7a805-0264-423b-aff6-7a86bec8ac86",15,"Nola, Aaron","J. Martinez","R",2,0,0,86.5,2203,1.5,9.2,2,5,7.1,"CT","","called_strike"
"16","d5d5a68d-af02-4565-9b8a-3c76f65d2197",16,"Nola, Aaron","J. Martinez","R",2,0,1,91.4,2150,10.7,13.5,1.9,5.1,7.2,"FF","","ball"
"17","a15366b7-51c7-46a1-a1a4-2d574e6a9070",17,"Nola, Aaron","J. Martinez","R",2,1,1,87.8,2229,1.7,7.6,1.9,5,7.3,"CT","","ball"
"18","3e0e91b3-4f6b-41e4-ad80-b4fa2d4d4121",18,"Nola, Aaron","J. Martinez","R",2,2,1,79.5,2624,-17.5,-6.7,1.9,5.1,7.2,"CB","","foul"
"19","d44d87e6-dfe3-4263-bd4f-d31b8cb4e635",19,"Nola, Aaron","J. Martinez","R",2,2,2,79.8,2634,-13.6,-12.1,1.9,5,7.3,"CB","strikeout","swinging_strike"
"20","8a2d6965-f07f-4dc3-a77d-4dd0055bd0de",20,"Nola, Aaron","B. Baty","L",2,0,0,94,2381,13,16.3,1.9,5,7.3,"FF","","ball"
"21","bb34ef32-2ca0-4940-8af5-e2da3d9b6b41",21,"Nola, Aaron","B. Baty","L",2,1,0,93.8,2217,15.7,10.9,2,4.9,7.3,"FF","field_out","hit_into_play"
"22","091c83b8-883b-4dbb-a568-d7ddcc0604e3",22,"Nola, Aaron","T. Taylor","R",3,0,0,85.7,2228,5.3,11.7,2,4.9,7.3,"CT","","called_strike"
"23","80853da3-9dee-4a40-a8b7-47f9acef9073",23,"Nola, Aaron","T. Taylor","R",3,0,1,79.4,2556,-13.8,-10.9,1.9,5,7.2,"CB","","swinging_strike"
"24","dfa1e438-a37a-4c0d-82a8-c82657854ee7",24,"Nola, Aaron","T. Taylor","R",3,0,2,78.6,2389,-12.6,-8.9,1.9,4.9,7.3,"CB","","ball"
"25","5ac8b3c7-52bc-4404-a073-0351c602679e",25,"Nola, Aaron","T. Taylor","R",3,1,2,86.7,2205,3.3,6.8,2,5,7.2,"CT","field_out","hit_into_play"
"26","99d463aa-d0fc-42b1-9b0a-48a5639a9458",26,"Nola, Aaron","J. Wendle","L",3,0,0,85.6,1547,14.8,8.7,2,4.8,7.3,"CH","","foul"
"27","98855986-1a43-45af-8d26-a4b4bbd27528",27,"Nola, Aaron","J. Wendle","L",3,0,1,85.9,2183,2.8,6.4,1.9,4.9,7.2,"CT","field_out","hit_into_play"
"28","d9f7ae0c-eae0-4322-a347-9c065990f0a6",28,"Nola, Aaron","O. Narvaez","L",3,0,0,93.7,2226,11.9,13.4,1.8,5,7.1,"FF","","called_strike"
"29","6c887823-4cdb-4ad9-8395-a0447de2640a",29,"Nola, Aaron","O. Narvaez","L",3,0,1,89.5,2104,1.9,6.5,1.8,5,7.2,"CT","","foul"
"30","326b3eeb-003c-4984-8c83-2c9a5de29302",30,"Nola, Aaron","O. Narvaez","L",3,0,2,92.5,2306,11.5,11.7,1.9,5,7.3,"FF","","ball"
